id,value
id_207,51.4386711446
id_208,20.1680555103
id_209,28.3738355246
id_210,47.6991246459
id_211,34.8591931132
id_212,29.4255031172
id_213,3.72474706725
id_214,15.7449814684
id_215,4.68983246852
id_216,48.7830224716
id_217,8.92854002047
id_218,31.6555087888
id_219,90.5857550845
id_220,53.3438529152
id_221,18.0928986787
id_222,35.3022632122
id_223,86.9015585083
id_224,33.948296733
id_225,16.2882388076
id_226,14.1114381608
id_227,45.4089072861
id_228,32.7505823038
id_229,30.8949327914
id_230,8.38679406617
id_231,30.4032966984
id_232,4.30860986697
id_233,34.9623239005
id_234,60.9334477708
id_235,21.7012186833
id_236,17.8264886806
id_237,16.3821246971
id_238,10.9073141595
id_239,30.8318494191
id_240,27.2487899649
id_241,73.4252783216
id_242,37.9402718337
id_243,34.6009642993
id_244,61.1844052045
id_245,43.256268838
id_246,39.5440256598
id_247,47.8203327446
id_248,17.8672690598
id_249,4.89990689569
id_250,17.1759745323
id_251,39.1502832491
id_252,13.8006223447
id_253,26.7753184025
id_254,19.6009037532
id_255,32.9063675181
id_256,33.0367978255
id_257,2.11475854589
id_258,29.0943472102
id_259,40.8291397905
